AAAAMMJJHH;Pluie
2015110412;1.1614814814814816
2015110413;0.0637037037037037
2015110414;0.5133333333333334
2015110415;1.2274074074074073
2015110416;0.06592592592592592
2015110417;0.0
2015110418;0.0
2015110419;0.0007407407407407408
2015110420;0.0
2015110421;0.0
2015110422;0.0
2015110423;0.0
2015110500;0.0
2015110501;0.0007407407407407408
2015110502;0.0
2015110503;0.0
2015110504;0.0
2015110505;0.0
2015110506;0.0
2015110507;0.0
2015110508;0.0
2015110509;0.0
2015110510;0.0
2015110511;0.0
2015110512;0.08
2015110513;0.0
2015110514;0.0
2015110515;0.0
2015110516;0.0
2015110517;0.0
2015110518;0.00814814814814815
2015110519;0.006666666666666666
2015110520;0.02
2015110521;0.0014814814814814816
2015110522;0.0
2015110523;0.0007407407407407408
2015110600;0.0
2015110601;0.0
2015110602;0.0
2015110603;0.0
2015110604;0.0
2015110605;0.0
2015110606;0.0
2015110607;0.0
2015110608;0.0
2015110609;0.0
2015110610;0.0
2015110611;0.0
2015110612;0.0
2015110613;0.0
2015110614;0.0
2015110615;0.0
2015110616;0.0
2015110617;0.0
2015110618;0.0
2015110619;0.0
2015110620;0.0
2015110621;0.0
2015110622;0.0
2015110623;0.0
2015110700;0.0
2015110701;0.0
2015110702;0.0
2015110703;0.0
2015110704;0.0
2015110705;0.0
2015110706;0.0
2015110707;0.0
2015110708;0.0
2015110709;0.0
2015110710;0.0
2015110711;0.0
2015110712;0.0
2015110713;0.0
2015110714;0.0
2015110715;0.0
2015110716;0.0
2015110717;0.0
2015110718;0.0
2015110719;0.0
2015110720;0.0
2015110721;0.0
2015110722;0.0
2015110723;0.0
2015110800;0.0
2015110801;0.0
2015110802;0.0
2015110803;0.0
2015110804;0.0
2015110805;0.0
2015110806;0.0
2015110807;0.0
2015110808;0.0
2015110809;0.0
2015110810;0.0
2015110811;0.0
2015110812;0.0
2015110813;0.0
2015110814;0.0
2015110815;0.0
2015110816;0.0
2015110817;0.0
2015110818;0.0
2015110819;0.0
2015110820;0.0
2015110821;0.0
2015110822;0.0
2015110823;0.0
2015110900;0.0
2015110901;0.0
2015110902;0.0
2015110903;0.0
2015110904;0.0
2015110905;0.0
2015110906;0.0
2015110907;0.0
2015110908;0.0
2015110909;0.0
2015110910;0.0
2015110911;0.0
2015110912;0.0
2015110913;0.0
2015110914;0.0
2015110915;0.0
2015110916;0.0
2015110917;0.0
2015110918;0.0
2015110919;0.0
2015110920;0.0
2015110921;0.0
2015110922;0.0
2015110923;0.0
2015111000;0.0
2015111001;0.0
2015111002;0.0
2015111003;0.0
2015111004;0.0
2015111005;0.0
2015111006;0.0
2015111007;0.0
2015111008;0.0
2015111009;0.0
2015111010;0.0
2015111011;0.0
2015111012;0.0
2015111013;0.0
2015111014;0.0
2015111015;0.0
2015111016;0.0
2015111017;0.0
2015111018;0.0
2015111019;0.0
2015111020;0.0
2015111021;0.0029629629629629632
2015111022;0.0
2015111023;0.0
2015111100;0.0
2015111101;0.0
2015111102;0.0
2015111103;0.0
2015111104;0.0
2015111105;0.0
2015111106;0.0
2015111107;0.0
2015111108;0.0
2015111109;0.0
2015111110;0.0
2015111111;0.0
2015111112;0.0
2015111113;0.0
2015111114;0.0
2015111115;0.0
2015111116;0.0
2015111117;0.0
2015111118;0.0
2015111119;0.0
2015111120;0.0
2015111121;0.0
2015111122;0.0
2015111123;0.0
2015111200;0.0
2015111201;0.0
2015111202;0.0
2015111203;0.0
2015111204;0.0
2015111205;0.0
2015111206;0.0
2015111207;0.0
2015111208;0.0
2015111209;0.0
2015111210;0.0
2015111211;0.0
2015111212;0.0
2015111213;0.0
2015111214;0.0
2015111215;0.0
2015111216;0.0
2015111217;0.0
2015111218;0.0
2015111219;0.0
2015111220;0.0
2015111221;0.0
2015111222;0.0
2015111223;0.0
2015111300;0.0
2015111301;0.0
2015111302;0.0
2015111303;0.0
2015111304;0.0
2015111305;0.0
2015111306;0.0
2015111307;0.0
2015111308;0.0
2015111309;0.0
2015111310;0.0
2015111311;0.0
2015111312;0.0
2015111313;0.0
2015111314;0.0
2015111315;0.0
2015111316;0.0
2015111317;0.0
2015111318;0.0
2015111319;0.0
2015111320;0.0
2015111321;0.0
2015111322;0.0
2015111323;0.0
2015111400;0.0
2015111401;0.0
2015111402;0.0
2015111403;0.0
2015111404;0.0
2015111405;0.0
2015111406;0.0
2015111407;0.0
2015111408;0.0
2015111409;0.0
2015111410;0.0
2015111411;0.0
2015111412;0.0
2015111413;0.0
2015111414;0.0
2015111415;0.0
2015111416;0.0
2015111417;0.0
2015111418;0.0
2015111419;0.0
2015111420;0.0
2015111421;0.0
2015111422;0.0
2015111423;0.0
2015111500;0.0
2015111501;0.0
2015111502;0.0
2015111503;0.0
2015111504;0.0
2015111505;0.0
2015111506;0.0
2015111507;0.0
2015111508;0.0
2015111509;0.0
2015111510;0.0
2015111511;0.0
2015111512;0.0
2015111513;0.0
2015111514;0.0
2015111515;0.0
2015111516;0.0
2015111517;0.0
2015111518;0.0
2015111519;0.0
2015111520;0.0
2015111521;0.0
2015111522;0.0
2015111523;0.0
2015111600;0.0
2015111601;0.0
2015111602;0.0
2015111603;0.0
2015111604;0.0
2015111605;0.0
2015111606;0.0
2015111607;0.0
2015111608;0.0
2015111609;0.0
2015111610;0.0
2015111611;0.0
2015111612;0.0
2015111613;0.0
2015111614;0.0
2015111615;0.0
2015111616;0.0
2015111617;0.0
2015111618;0.0
2015111619;0.0
2015111620;0.0
2015111621;0.0
2015111622;0.0
2015111623;0.0
2015111700;0.0
2015111701;0.0
2015111702;0.0
